stockCode,tickerSymbol,companyName,companyNameEng,market,sector
KR7000020008,000020,동화약품보통주,DongwhaPharm,KOSPI,의약품
KR7000040006,000040,KR모터스보통주,KR MOTORS,KOSPI,운수장비
KR7000050005,000050,경방보통주,Kyungbang,KOSPI,유통업
KR7000070003,000070,삼양홀딩스보통주,SAMYANGHOLDINGS,KOSPI,기타금융
KR7000071001,000075,삼양홀딩스1우선주,SAMYANGHOLDINGS(1P),KOSPI,기타금융
KR7000080002,000080,하이트진로보통주,HITEJINRO,KOSPI,음식료품
KR7000082008,000087,하이트진로2우선주(신형),HITEJINRO(2PB),KOSPI,음식료품
KR7000100008,000100,유한양행보통주,Yuhan,KOSPI,의약품
KR7000101006,000105,유한양행1우선주,Yuhan(1P),KOSPI,의약품
KR7000120006,000120,씨제이대한통운보통주,CJ LOGISTICS,KOSPI,운수창고업
KR7000140004,000140,하이트진로홀딩스보통주,HITEJINROHOLDINGS,KOSPI,기타금융
KR7000141002,000145,하이트진로홀딩스1우선주,HITEJINROHOLDINGS(1P),KOSPI,기타금융
KR7000150003,000150,두산보통주,DOOSAN,KOSPI,기타금융
KR7000151001,000155,두산1우선주,DOOSAN(1P),KOSPI,기타금융
KR7000152009,000157,두산2우선주(신형),DOOSAN(2PB),KOSPI,기타금융
KR7000180000,000180,성창기업지주보통주,SungchangEnterpriseHoldings,KOSPI,서비스업
KR7000210005,000210,DL보통주,DL,KOSPI,화학
KR7000211003,000215,DL1우선주,DL(1P),KOSPI,화학
KR7000220004,000220,유유제약보통주,YuyuPharma,KOSPI,의약품
KR7000221002,000225,유유제약1우선주,YuyuPharma(1P),KOSPI,의약품
KR7000222000,000227,유유제약2우선주(신형),YuyuPharma(2PB),KOSPI,의약품
KR7000230003,000230,일동홀딩스보통주,ILDONG HOLDINGS,KOSPI,의약품
KR7000240002,000240,한국앤컴퍼니보통주,HANKOOK & COMPANY,KOSPI,기타금융
KR7000250001,000250,삼천당제약,SAM CHUN DANG PHARM CO. LTD,KOSDAQ,제약
KR7000270009,000270,기아보통주,KIA CORPORATION,KOSPI,운수장비
KR7000300004,000300,대유플러스보통주,DAYOUPLUS,KOSPI,전기전자
KR7000320002,000320,노루홀딩스보통주,NorooHoldings,KOSPI,기타금융
KR7000321000,000325,노루홀딩스1우선주,NorooHoldings(1P),KOSPI,기타금융
KR7000370007,000370,한화손해보험보통주,"Hanwha General Insurance Co.,Ltd.",KOSPI,보험
KR7000390005,000390,삼화페인트공업보통주,SamhwaPaintIndustrial,KOSPI,화학
KR7000400002,000400,롯데손해보험보통주,LotteNon-LifeInsurance,KOSPI,보험
KR7000430009,000430,대원강업보통주,DaewonKangup,KOSPI,운수장비
KR7000440008,000440,중앙에너비스,"Joong Ang Enervis Co.,Ltd.",KOSDAQ,유통
KR7000480004,000480,시알홀딩스보통주,CR Holdings,KOSPI,비금속광물
KR7000490003,000490,대동보통주,DAEDONG CORPORATION,KOSPI,기계
KR7000500009,000500,가온전선보통주,GAONCABLE,KOSPI,전기전자
KR7000520007,000520,삼일제약보통주,SamilPharmaceutical,KOSPI,의약품
KR7000540005,000540,흥국화재해상보험보통주,HeungkukFire&MarineInsurance,KOSPI,보험
KR7000541003,000545,흥국화재해상보험1우선주,HeungkukFire&MarineIns(1P),KOSPI,보험
KR7000590000,000590,CS홀딩스보통주,CSHOLDINGS,KOSPI,기타금융
KR7000640003,000640,동아쏘시오홀딩스보통주,Dong-A Socio Holdings,KOSPI,기타금융
KR7000650002,000650,천일고속보통주,ChunilExpress,KOSPI,운수창고업
KR7000660001,000660,에스케이하이닉스보통주,SK hynix,KOSPI,전기전자
KR7000670000,000670,영풍보통주,Youngpoong,KOSPI,철강금속
KR7000680009,000680,LS네트웍스보통주,LSNetworks,KOSPI,유통업
KR7000700005,000700,유수홀딩스보통주,EUSU HOLDINGS,KOSPI,서비스업
KR7000720003,000720,현대건설보통주,HyundaiEngineering&Construction,KOSPI,건설업
KR7000721001,000725,현대건설1우선주,HyundaiEngineering&Construction(1P),KOSPI,건설업
KR7000760009,000760,이화산업보통주,RIFA,KOSPI,유통업
KR7000810002,000810,삼성화재해상보험보통주,SamsungFire&MarineInsurance,KOSPI,보험
KR7000811000,000815,삼성화재해상보험1우선주,SamsungFire&MarineInsurance(1P),KOSPI,보험
KR7000850008,000850,화천기공보통주,HwacheonMachineTool,KOSPI,기계
KR7000860007,000860,강남제비스코보통주,KANGNAM JEVISCO,KOSPI,화학
KR7000880005,000880,한화보통주,Hanwha,KOSPI,화학
KR7000881003,000885,한화1우선주,Hanwha(1P),KOSPI,화학
KR700088K015,00088K,한화3우선주(신형),HANWHA(3PB),KOSPI,화학
KR7000890004,000890,보해양조보통주,BohaeBrewery,KOSPI,음식료품
KR7000910000,000910,유니온보통주,Union,KOSPI,비금속광물
KR7000950006,000950,전방보통주,Chonbang,KOSPI,섬유의복
KR7000970004,000970,한국주철관공업보통주,KoreaCastIronPipeInd,KOSPI,철강금속
